t_ms,gps_outage,constant_vel,vel_n,vel_e,vel_d,yaw_deg,vbx,vby,vbz,innov_y,innov_z,innov_norm,k_y,k_z,k_max,nis,dx_vel_n,dx_vel_e,dx_vel_d,dx_att_x,dx_att_y,dx_att_z,dx_vel_norm,dx_att_norm,dx_pos_norm,nhc_count
660,0,1,-0.474498,-4.297470,-0.382493,84.316635,-4.339421,0.051214,0.080622,-0.051214,-0.080622,0.095513,0.347128,0.608680,0.608680,1.706338,0.009576,0.019766,-0.022078,-0.000128,-0.002329,0.000897,0.031142,0.002499,0.006062,67
670,0,1,-0.483138,-4.308976,-0.398559,84.259583,-4.353175,0.054311,0.080380,-0.054311,-0.080380,0.097009,0.336196,0.593138,0.593138,1.721886,0.010174,0.020118,-0.021894,-0.000039,-0.002322,0.000951,0.031426,0.002510,0.006290,68
680,0,1,-0.491049,-4.320329,-0.415041,84.206596,-4.366805,0.056980,0.079983,-0.056980,-0.079983,0.098203,0.325667,0.578230,0.578230,1.729385,0.010687,0.020394,-0.021669,0.000048,-0.002311,0.000998,0.031617,0.002518,0.006494,69
690,0,1,-0.498303,-4.331604,-0.431884,84.157242,-4.380388,0.059258,0.079465,-0.059258,-0.079465,0.099127,0.315492,0.563878,0.563878,1.730082,0.011121,0.020602,-0.021409,0.000132,-0.002297,0.001038,0.031725,0.002524,0.006676,70
700,0,1,-0.504966,-4.342871,-0.449039,84.111191,-4.393996,0.061181,0.078861,-0.061181,-0.078861,0.099811,0.305628,0.550027,0.550027,1.725262,0.011484,0.020756,-0.021125,0.000213,-0.002281,0.001072,0.031764,0.002529,0.006838,71
710,0,1,-0.511100,-4.354183,-0.466468,84.068054,-4.407683,0.062782,0.078204,-0.062782,-0.078204,0.100286,0.296043,0.536634,0.536634,1.716135,0.011782,0.020866,-0.020824,0.000290,-0.002264,0.001101,0.031746,0.002534,0.006984,72
720,0,1,-0.516763,-4.365586,-0.484141,84.027534,-4.421500,0.064091,0.077520,-0.064091,-0.077520,0.100584,0.286712,0.523668,0.523668,1.703818,0.012021,0.020944,-0.020513,0.000363,-0.002248,0.001125,0.031685,0.002539,0.007118,73
730,0,1,-0.522006,-4.377110,-0.502033,83.989365,-4.435479,0.065140,0.076834,-0.065140,-0.076834,0.100730,0.277614,0.511104,0.511104,1.689290,0.012207,0.021001,-0.020200,0.000431,-0.002232,0.001145,0.031592,0.002545,0.007241,74
740,0,1,-0.526876,-4.388777,-0.520129,83.953285,-4.449646,0.065955,0.076163,-0.065955,-0.076163,0.100752,0.268737,0.498924,0.498924,1.673368,0.012347,0.021046,-0.019888,0.000494,-0.002217,0.001161,0.031479,0.002551,0.007357,75
750,0,1,-0.531417,-4.400598,-0.538418,83.919052,-4.464015,0.066561,0.075524,-0.066561,-0.075524,0.100669,0.260069,0.487115,0.487115,1.656729,0.012445,0.021088,-0.019582,0.000553,-0.002204,0.001174,0.031354,0.002558,0.007468,76
760,0,1,-0.535668,-4.412578,-0.556894,83.886490,-4.478595,0.066982,0.074927,-0.066982,-0.074927,0.100502,0.251605,0.475662,0.475662,1.639914,0.012506,0.021133,-0.019286,0.000607,-0.002193,0.001185,0.031224,0.002565,0.007577,77
770,0,1,-0.539661,-4.424712,-0.575553,83.855392,-4.493386,0.067240,0.074380,-0.067240,-0.074380,0.100268,0.243338,0.464556,0.464556,1.623351,0.012536,0.021187,-0.019000,0.000656,-0.002183,0.001193,0.031097,0.002573,0.007686,78
780,0,1,-0.543429,-4.436992,-0.594398,83.825592,-4.508384,0.067352,0.073889,-0.067352,-0.073889,0.099979,0.235267,0.453791,0.453791,1.607351,0.012539,0.021254,-0.018726,0.000700,-0.002175,0.001198,0.030978,0.002581,0.007796,79
790,0,1,-0.546998,-4.449405,-0.613430,83.796936,-4.523580,0.067336,0.073457,-0.067336,-0.073457,0.099650,0.227390,0.443355,0.443355,1.592156,0.012518,0.021338,-0.018466,0.000740,-0.002169,0.001202,0.030871,0.002588,0.007909,80
800,0,1,-0.550392,-4.461933,-0.632652,83.769287,-4.538961,0.067205,0.073086,-0.067205,-0.073086,0.099287,0.219706,0.433247,0.433247,1.577923,0.012476,0.021441,-0.018220,0.000775,-0.002165,0.001204,0.030778,0.002596,0.008026,81
810,0,1,-0.553633,-4.474557,-0.652071,83.742470,-4.554513,0.066973,0.072775,-0.066973,-0.072775,0.098902,0.212213,0.423455,0.423455,1.564764,0.012416,0.021565,-0.017987,0.000806,-0.002162,0.001205,0.030704,0.002603,0.008148,82
820,0,1,-0.556740,-4.487256,-0.671691,83.716400,-4.570219,0.066650,0.072523,-0.066650,-0.072523,0.098498,0.204914,0.413975,0.413975,1.552718,0.012342,0.021711,-0.017767,0.000832,-0.002161,0.001203,0.030649,0.002610,0.008276,83
830,0,1,-0.559728,-4.500007,-0.691518,83.690941,-4.586059,0.066248,0.072328,-0.066248,-0.072328,0.098083,0.197805,0.404801,0.404801,1.541833,0.012255,0.021881,-0.017559,0.000854,-0.002161,0.001201,0.030615,0.002615,0.008410,84
840,0,1,-0.562613,-4.512784,-0.711557,83.665977,-4.602014,0.065775,0.072188,-0.065775,-0.072188,0.097660,0.190888,0.395928,0.395928,1.532074,0.012158,0.022074,-0.017363,0.000872,-0.002162,0.001197,0.030603,0.002621,0.008551,85
